Province,ProvinceCode,District,DistrictCode,FullName,Lat,Lon
Çankırı,18,Atkaracalar,1765,"Atkaracalar, Çankırı",40.815512,33.075500
Nevşehir,50,Avanos,1155,"Avanos, Nevşehir",38.710814,34.842100
İstanbul,34,Avcılar,2003,"Avcılar, İstanbul",41.015348,28.731500
Sinop,57,Ayancık,1156,"Ayancık, Sinop",41.945806,34.588400
Ankara,6,Ayaş,1157,"Ayaş, Ankara",40.019034,32.310800
Ordu,52,Aybastı,1158,"Aybastı, Ordu",40.684500,37.398800
Aydın,9,Aydın Merkez,1159,"Aydın Merkez, Aydın",37.838016,27.845600
Mersin,33,Aydıncık / Mersin,1766,"Aydıncık / Mersin, Mersin",36.230676,33.303700
Yozgat,66,Aydıncık / Yozgat,1877,"Aydıncık / Yozgat, Yozgat",40.128571,35.286300
Bayburt,69,Aydıntepe,1767,"Aydıntepe, Bayburt",40.389843,40.146800
Karaman,70,Ayrancı,1768,"Ayrancı, Karaman",37.361767,33.689300
Çanakkale,17,Ayvacık / Çanakkale,1160,"Ayvacık / Çanakkale, Çanakkale",39.603753,26.401900
Samsun,55,Ayvacık / Samsun,1879,"Ayvacık / Samsun, Samsun",40.989607,36.630800
Balıkesir,10,Ayvalık,1161,"Ayvalık, Balıkesir",39.319185,26.692400
Kastamonu,37,Azdavay,1162,"Azdavay, Kastamonu",41.642533,33.305700
Erzurum,25,Aziziye,1945,"Aziziye, Erzurum",39.945790,41.105200
Denizli,20,Babadağ,1769,"Babadağ, Denizli",37.810661,28.858800
Kırklareli,39,Babaeski,1163,"Babaeski, Kırklareli",41.431324,27.091800
Samsun,55,Bafra,1164,"Bafra, Samsun",41.561959,35.905700
İstanbul,34,Bağcılar,2004,"Bağcılar, İstanbul",41.045647,28.824700
Diyarbakır,21,Bağlar,2040,"Bağlar, Diyarbakır",37.924973,40.211000
Osmaniye,80,Bahçe,1165,"Bahçe, Osmaniye",37.196622,36.572600
İstanbul,34,Bahçelievler,2005,"Bahçelievler, İstanbul",40.997500,28.850600
Van,65,Bahçesaray,1770,"Bahçesaray, Van",38.076900,42.772000
Kırıkkale,71,Bahşili,1880,"Bahşili, Kırıkkale",39.700743,33.371100
İstanbul,34,Bakırköy,1166,"Bakırköy, İstanbul",40.983198,28.853600
Denizli,20,Baklan,1881,"Baklan, Denizli",37.976748,29.606900
Ankara,6,Bala,1167,"Bala, Ankara",39.553374,33.123800
İzmir,35,Balçova,2006,"Balçova, İzmir",38.389083,27.050000
Balıkesir,10,Balıkesir Merkez,1168,"Balıkesir Merkez, Balıkesir",39.653298,27.890300
Kırıkkale,71,Balışeyh,1882,"Balışeyh, Kırıkkale",39.909775,33.718200
Balıkesir,10,Balya,1169,"Balya, Balıkesir",39.749872,27.578800
Uşak,64,Banaz,1170,"Banaz, Uşak",38.739820,29.753200
Balıkesir,10,Bandırma,1171,"Bandırma, Balıkesir",40.353707,27.971400
Bartın,74,Bartın Merkez,1172,"Bartın Merkez, Bartın",41.637602,32.333800
İstanbul,34,Başakşehir,2050,"Başakşehir, İstanbul",41.101517,28.789800
Tokat,60,Başçiftlik,1883,"Başçiftlik, Tokat",40.546985,37.168200
Kocaeli,41,Başiskele,2058,"Başiskele, Kocaeli",40.629837,29.950900
Van,65,Başkale,1175,"Başkale, Van",38.047600,44.014900
Elazığ,23,Baskil,1173,"Baskil, Elazığ",38.567829,38.823700
Afyonkarahisar,3,Başmakçı,1771,"Başmakçı, Afyonkarahisar",37.898784,30.009300
Karaman,70,Başyayla,1884,"Başyayla, Karaman",36.753705,32.677000
Batman,72,Batman Merkez,1174,"Batman Merkez, Batman",37.889517,41.129300
Malatya,44,Battalgazi,1772,"Battalgazi, Malatya",38.425020,38.365400
Afyonkarahisar,3,Bayat / Afyonkarahisar,1773,"Bayat / Afyonkarahisar, Afyonkarahisar",38.984257,30.923900
Çorum,19,Bayat / Çorum,1177,"Bayat / Çorum, Çorum",40.644503,34.262900
Bayburt,69,Bayburt Merkez,1176,"Bayburt Merkez, Bayburt",40.260320,40.228000
İzmir,35,Bayındır,1178,"Bayındır, İzmir",38.237068,27.596500
Siirt,56,Baykan,1179,"Baykan, Siirt",38.159961,41.731900
İzmir,35,Bayraklı,2056,"Bayraklı, İzmir",38.479389,27.138200
Çanakkale,17,Bayramiç,1180,"Bayramiç, Çanakkale",39.809523,26.612000
Çankırı,18,Bayramören,1885,"Bayramören, Çankırı",40.997309,33.215600
İstanbul,34,Bayrampaşa,1886,"Bayrampaşa, İstanbul",41.048150,28.900500
Denizli,20,Bekilli,1774,"Bekilli, Denizli",38.230167,29.418800
Hatay,31,Belen,1887,"Belen, Hatay",36.451416,36.154500
İzmir,35,Bergama,1181,"Bergama, İzmir",39.121449,27.179900
Trabzon,61,Beşikdüzü,1775,"Beşikdüzü, Trabzon",41.051660,39.231300
İstanbul,34,Beşiktaş,1183,"Beşiktaş, İstanbul",41.044000,29.002000
Batman,72,Beşiri,1184,"Beşiri, Batman",37.916208,41.292700
Adıyaman,2,Besni,1182,"Besni, Adıyaman",37.622790,37.893700
Denizli,20,Beyağaç,1888,"Beyağaç, Denizli",37.191026,28.906300
İzmir,35,Beydağ,1776,"Beydağ, İzmir",38.093727,28.229300
İstanbul,34,Beykoz,1185,"Beykoz, İstanbul",41.142944,29.178200
İstanbul,34,Beylikdüzü,2051,"Beylikdüzü, İstanbul",40.991038,28.649800
Eskişehir,26,Beylikova,1777,"Beylikova, Eskişehir",39.689399,31.205800
İstanbul,34,Beyoğlu,1186,"Beyoğlu, İstanbul",41.038286,28.970300
Ankara,6,Beypazarı,1187,"Beypazarı, Ankara",40.168218,31.920400
Konya,42,Beyşehir,1188,"Beyşehir, Konya",37.679796,31.724300
